gen	name	category	type	description
gen9	Supercell Slam	Electric	physical	
gen9	Syrup Bomb	Grass	special	Lowers opponent's Speed each turn for 3 turns.
gen9	Tachyon Cutter	Steel	special	Guaranteed to hit twice in a row.
gen9	Temper Flare	Fire	physical	
gen9	Tera Blast	Normal	special	Changes type when the user has Terastallized.
gen9	Tera Starstorm	Normal	special	
gen9	Thunderclap	Electric	special	Strikes before a target's move.
gen9	Tidy Up	Normal	status	Removes the effects of entry hazards and Substitute, and boosts user’s Attack and Speed.
gen9	Torch Song	Fire	special	Raises user's Special Attack.
gen9	Trailblaze	Grass	physical	Raises user's Speed.
gen9	Triple Dive	Water	physical	Hits 3 times in a row.
gen9	Twin Beam	Psychic	special	Hits twice in one turn.
gen9	Upper Hand	Fighting	physical	Strikes before a target's priority move.
gen9	Wicked Torque	Dark	physical	May put opponent to sleep.
gen5	Acid Spray	Poison	special	Sharply lowers opponent's Special Defense.
gen5	Acrobatics	Flying	physical	Stronger when the user does not have a held item.
gen5	After You	Normal	status	Gives target priority in the next turn.
gen5	Ally Switch	Psychic	status	User switches with opposite teammate.
gen5	Autotomize	Steel	status	Reduces weight and sharply raises Speed.
gen5	Bestow	Normal	status	Gives the user's held item to the target.
gen5	Blue Flare	Fire	special	May burn opponent.
gen5	Bolt Strike	Electric	physical	May paralyze opponent.
gen5	Bulldoze	Ground	physical	Lowers opponent's Speed.
gen5	Chip Away	Normal	physical	Ignores opponent's stat changes.
gen5	Circle Throw	Fighting	physical	In battles, the opponent switches. In the wild, the Pokémon runs.
gen5	Clear Smog	Poison	special	Removes all of the target's stat changes.
gen5	Coil	Poison	status	Raises user's Attack, Defense and Accuracy.
gen5	Cotton Guard	Grass	status	Drastically raises user's Defense.
gen5	Dragon Tail	Dragon	physical	In battles, the opponent switches. In the wild, the Pokémon runs.
gen5	Drill Run	Ground	physical	High critical hit ratio.
gen5	Dual Chop	Dragon	physical	Hits twice in one turn.
gen5	Echoed Voice	Normal	special	Power increases each turn.
gen5	Electro Ball	Electric	special	The faster the user, the stronger the attack.
gen5	Electroweb	Electric	special	Lowers opponent's Speed.
gen5	Entrainment	Normal	status	Makes target's ability same as user's.
gen5	Fiery Dance	Fire	special	May raise user's Special Attack.
gen5	Final Gambit	Fighting	special	Inflicts damage equal to the user's remaining HP. User faints.
gen5	Fire Pledge	Fire	special	Added effects appear if combined with Grass Pledge or Water Pledge.
gen5	Flame Burst	Fire	special	May also injure nearby Pokémon.
gen5	Flame Charge	Fire	physical	Raises user's Speed.
gen5	Foul Play	Dark	physical	Uses the opponent's Attack stat.
gen5	Freeze Shock	Ice	physical	Charges on first turn, attacks on second. May paralyze opponent.
gen5	Frost Breath	Ice	special	Always results in a critical hit.
gen5	Fusion Bolt	Electric	physical	Power increases if Fusion Flare is used in the same turn.
gen5	Fusion Flare	Fire	special	Power increases if Fusion Bolt is used in the same turn.
gen5	Gear Grind	Steel	physical	Hits twice in one turn.
gen5	Glaciate	Ice	special	Lowers opponent's Speed.
gen5	Grass Pledge	Grass	special	Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.
gen5	Guard Split	Psychic	status	Averages Defense and Special Defense with the target.
gen5	Head Charge	Normal	physical	User receives recoil damage.
gen5	Heal Pulse	Psychic	status	Restores half the target's max HP.
gen5	Heart Stamp	Psychic	physical	May cause flinching.
gen5	Heat Crash	Fire	physical	The heavier the user, the stronger the attack.
gen5	Heavy Slam	Steel	physical	The heavier the user, the stronger the attack.
gen5	Hex	Ghost	special	Inflicts more damage if the target has a status condition.
gen5	Hone Claws	Dark	status	Raises user's Attack and Accuracy.
gen5	Horn Leech	Grass	physical	User recovers half the HP inflicted on opponent.
gen5	Hurricane	Flying	special	May confuse opponent.
gen5	Ice Burn	Ice	special	Charges on first turn, attacks on second. May burn opponent.
gen5	Icicle Crash	Ice	physical	May cause flinching.
gen5	Incinerate	Fire	special	Destroys the target's held berry.
gen5	Inferno	Fire	special	Burns opponent.
gen5	Leaf Tornado	Grass	special	May lower opponent's Accuracy.
gen5	Low Sweep	Fighting	physical	Lowers opponent's Speed.
gen5	Magic Room	Psychic	status	Suppresses the effects of held items for five turns.
gen5	Night Daze	Dark	special	May lower opponent's Accuracy.
gen5	Power Split	Psychic	status	Averages Attack and Special Attack with the target.
gen5	Psyshock	Psychic	special	Inflicts damage based on the target's Defense, not Special Defense.
gen5	Psystrike	Psychic	special	Inflicts damage based on the target's Defense, not Special Defense.
gen5	Quash	Dark	status	Makes the target act last this turn.
gen5	Quick Guard	Fighting	status	Protects the user's team from high-priority moves.
gen5	Quiver Dance	Bug	status	Raises user's Special Attack, Special Defense and Speed.
gen5	Rage Powder	Bug	status	Forces attacks to hit user, not team-mates.
gen5	Razor Shell	Water	physical	May lower opponent's Defense.
gen5	Reflect Type	Normal	status	User becomes the target's type.
gen5	Relic Song	Normal	special	May put the target to sleep.
gen5	Retaliate	Normal	physical	Inflicts double damage if a teammate fainted on the last turn.
gen5	Round	Normal	special	Power increases if teammates use it in the same turn.
gen5	Sacred Sword	Fighting	physical	Ignores opponent's stat changes.
gen5	Scald	Water	special	May burn opponent.
gen5	Searing Shot	Fire	special	May burn opponent.
gen5	Secret Sword	Fighting	special	Inflicts damage based on the target's Defense, not Special Defense.
gen5	Shell Smash	Normal	status	Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.
gen5	Shift Gear	Steel	status	Raises user's Attack and sharply raises Speed.
gen5	Simple Beam	Normal	status	Changes target's ability to Simple.
gen5	Sky Drop	Flying	physical	Takes opponent into the air on first turn, drops them on second turn.
gen5	Sludge Wave	Poison	special	May poison opponent.
gen5	Smack Down	Rock	physical	Makes Flying-type Pokémon vulnerable to Ground moves.
gen5	Snarl	Dark	special	Lowers opponent's Special Attack.
gen5	Soak	Water	status	Changes the target's type to water.
gen5	Steamroller	Bug	physical	May cause flinching.
gen5	Stored Power	Psychic	special	Power increases when user's stats have been raised.
gen5	Storm Throw	Fighting	physical	Always results in a critical hit.
gen5	Struggle Bug	Bug	special	Lowers opponent's Special Attack.
gen5	Synchronoise	Psychic	special	Hits any Pokémon that shares a type with the user.
gen5	Tail Slap	Normal	physical	Hits 2-5 times in one turn.
gen5	Techno Blast	Normal	special	Type depends on the Drive being held.
gen5	Telekinesis	Psychic	status	Ignores opponent's Evasiveness for three turns, add Ground immunity.
gen5	V-create	Fire	physical	Lowers user's Defense, Special Defense and Speed.
gen5	Venoshock	Poison	special	Inflicts double damage if the target is poisoned.
gen5	Volt Switch	Electric	special	User must switch out after attacking.
gen5	Water Pledge	Water	special	Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.
gen5	Wide Guard	Rock	status	Protects the user's team from multi-target attacks.
gen5	Wild Charge	Electric	physical	User receives recoil damage.
gen5	Wonder Room	Psychic	status	Swaps every Pokémon's Defense and Special Defense for 5 turns.
gen5	Work Up	Normal	status	Raises user's Attack and Special Attack.
